Problem TCARP-S3
Number of Nodes 
  31
Number of Arcs 
  36
Depot 
   1
Link No  Node I  Node J  Demand  Cost
   1       1       3       5       1    
   2       2       3       5       2    
   3       3       8       3       1    
   4       4       6       5       1    
   5       5       6       3       1    
   6       5       8       6       1    
   7       5      14       3       1    
   8       6      14       3       1    
   9       7      11       3       1    
  10       8       9       5       1    
  11       9      10       9       1    
  12       9      11       5       1    
  13      10      12       6       2    
  14      10      21       4       1    
  15      11      18       5       1    
  16      12      13       3       1    
  17      12      17       3       1    
  18      12      20       5       1    
  19      12      27       9       2    
  20      14      15       4       1    
  21      15      16       4       1    
  22      15      17       3       1    
  23      17      27       9       3    
  24      19      21       4       1    
  25      20      21       6       1    
  26      20      23       3       1    
  27      21      22       2       1    
  28      22      24       4       1    
  29      22      25       6       3    
  30      24      26       5       1    
  31      24      27       6       2    
  32      26      29       5       1    
  33      26      31       7       2    
  34      27      28       2       1    
  35      27      29       5       1    
  36      29      30       4       1    
