Problem TCARP-S4
Number of Nodes 
  30
Number of Arcs 
  33
Depot 
   1
Link No  Node I  Node J  Demand  Cost
   1       1       5       5       2    
   2       2       4       4       1    
   3       3       4       3       2    
   4       3       5       2       1    
   5       3       9       3       1    
   6       4      12       2       1    
   7       5       7       4       1    
   8       6      16       2       1    
   9       7       8       2       1    
  10       7      17       2       1    
  11       9      12       3       2    
  12       9      21       5       2    
  13      10      13       3       1    
  14      11      13       3       1    
  15      12      14       4       1    
  16      13      26       3       2    
  17      15      25       2       1    
  18      16      17       3       1    
  19      16      18       3       2    
  20      17      19       3       1    
  21      18      19       4       1    
  22      18      22       3       1    
  23      19      20       6       2    
  24      20      21       2       1    
  25      20      23       4       2    
  26      21      24       3       2    
  27      24      25       5       1    
  28      24      29       3       2    
  29      25      26       4       1    
  30      26      27       2       1    
  31      27      28       3       1    
  32      27      29       4       1    
  33      29      30       4       1    
