Problem TCARP-S10     
No of Nodes     
30
No of Arcs
37
Depot     
1
Link No NodeI NodeJ Demand Cost 
    1     1     11     3     1
    2     2     5     5     2
    3     3     6     2     1
    4     4     6     2     1
    5     4     9     7     2
    6     4     10     10     3
    7     5     7     2     1
    8     5     8     2     1
    9     6     8     3     1
   10     8     22     9     3
   11     9     10     6     2
   12     9     14     3     1
   13     9     15     2     1
   14     10     11     2     1
   15     11     12     3     1
   16     11     16     5     2
   17     12     13     3     1
   18     12     17     2     1
   19     14     15     3     1
   20     14     16     2     1
   21     15     23     2     1
   22     16     20     5     2
   23     17     19     6     2
   24     17     20     3     1
   25     18     19     3     2
   26     19     21     3     1
   27     20     26     2     1
   28     21     26     5     2
   29     22     23     3     1
   30     22     29     10     3
   31     23     25     5     2
   32     24     25     2     1
   33     25     29     3     1
   34     26     27     4     2
   35     27     28     3     1
   36     27     29     5     2
   37     29     30     2     1
