Problem TCARP-S6
Number of Nodes 
  25
Number of Arcs 
  30
Depot 
   1
Link No  Node I  Node J  Demand  Cost
   1       2       4       2       1    
   2       3       4       2       1    
   3       6       7       5       2    
   4       6      10       3       1    
   5       7      19       6       2    
   6       7       8       4       2    
   7       8       9       2       1    
   8       8      19       5       2    
   9      13      14       2       1    
  10      15      16       2       1    
  11      17      18       2       1    
  12      18      22       2       1    
  13      19      20       3       1    
  14      23      24       3       1    
  15       1       4       2       1    
  16       4       6       2       1    
  17       5       7       2       1    
  18       9      10       4       2    
  19      11      12       2       1    
  20      10      12       3       1    
  21      14      15       2       1    
  22      13      15       2       1    
  23      12      16       3       1    
  24       9      17       2       1    
  25      15      17       3       1    
  26      18      21       3       1    
  27      22      23       2       1    
  28      22      24       3       1    
  29      16      24       4       1    
  30      23      25       2       1    
