Problem TCARP-S8
Number of Nodes 
  23
Number of Arcs 
  26
Depot 
   1
Link No  Node I  Node J  Demand  Cost
   1       1       4       2       1    
   2       2       3       2       1    
   3       3       6       3       1    
   4       3       4       2       1    
   5       4       7       5       2    
   6       4       5       2       1    
   7       5       9       3       1    
   8       6      12       3       1    
   9       7      14       4       2    
  10       9      10       2       1    
  11      12      15       2       1    
  12      14      15       2       1    
  13      14      17       2       1    
  14      17      20       3       1    
  15      18      19       2       1    
  16      20      21       2       1    
  17       6       7       2       1    
  18       5       8       2       1    
  19       7       9       2       1    
  20      11      12       2       1    
  21      13      15       2       1    
  22       9      17       4       2    
  23      16      18       2       1    
  24      18      20       2       1    
  25      21      22       2       1    
  26      21      23       2       1    
