Problem TCARP-S1
Number of Nodes 
  19
Number of Arcs 
  23
Depot 
   1
Link No  Node I  Node J  Demand  Cost
   1       1       4       2       1    
   2       2       3       5       1    
   3       2       5       3       1    
   4       3       4       4       1    
   5       3       8       3       1    
   6       4       6       5       1    
   7       5      10       3       1    
   8       5      15       4       1    
   9       6       7       4       1    
  10       6       8       2       1    
  11       8      10       4       1    
  12       8      11       5       1    
  13       9      11       4       1    
  14      10      12       4       1    
  15      11      13       3       1    
  16      12      13       4       1    
  17      12      15       5       2    
  18      13      14       3       1    
  19      13      19       3       1    
  20      15      17       6       2    
  21      16      19       5       1    
  22      17      18       4       1    
  23      17      19       5       2    
