Problem TCARP-S5
Number of Nodes 
  26
Number of Arcs 
  30
Depot 
   1
Link No  Node I  Node J  Demand  Cost
   1       1       2       3       1    
   2       2       3       3       1    
   3       2       6       5       1    
   4       4       5       2       1    
   5       5       6       2       1    
   6       5       9       3       2    
   7       5      10       6       3    
   8       6       7       4       1    
   9       7       9       4       2    
  10       7      23       3       1    
  11       8      10       3       1    
  12       9      12       6       2    
  13       9      18       6       2    
  14      10      11       3       1    
  15      11      12       5       1    
  16      11      14       2       1    
  17      12      13       3       1    
  18      12      17       6       1    
  19      13      17       2       1    
  20      13      18       5       1    
  21      15      16       4       1    
  22      15      17       3       1    
  23      15      20       4       1    
  24      18      22       2       1    
  25      19      22       2       1    
  26      19      24       4       1    
  27      19      25       2       1    
  28      20      21       4       1    
  29      20      22       2       1    
  30      22      26       5       2    
