Problem TCARP-S2
Number of Nodes 
  27
Number of Arcs 
  35
Depot 
   1
Link No  Node I  Node J  Demand  Cost
   1       2       9       4       1    
   2       2      10       2       1    
   3       2      13       4       1    
   4       1       3       3       1    
   5       1       9       4       1    
   6       1      12       3       1    
   7       3       4       3       1    
   8       3      14       6       2    
   9       4       6       8       3    
  10       4      12       6       3    
  11       5       9       2       1    
  12       6       7       5       2    
  13       6      20       8       3    
  14       7       8       3       1    
  15       7      14       4       1    
  16       7      16       3       1    
  17      10      11       2       1    
  18      10      14       4       1    
  19      13      25       5       2    
  20      13      27       5       2    
  21      14      17       2       1    
  22      15      16       2       1    
  23      16      19       3       1    
  24      17      19       4       1    
  25      17      23       3       1    
  26      18      23       4       1    
  27      19      21       4       2    
  28      19      26       3       1    
  29      20      21       4       1    
  30      20      22       4       1    
  31      21      26       5       2    
  32      23      24       4       1    
  33      24      25       3       1    
  34      24      26       3       1    
  35      25      27       4       1    
